Tape_nr,Programtittel,Tid,Dato,Format,Innhold,Personer,Produsent,Rettigheter,Oppdragsgiver,Generasjon,Merknader,Column,Column 14,Column 15
1105,Bryggens Museum - Møtested mellom fortid og nåtid.,00:22:50,Wed Jul 31 00:00:00 CEST 1985,U-MaticLB,Programmet beskriver et mangfold av aktiviteter og oppgaver som er knyttet til et moderne arkeologisk museum - Bryggens Museum i Bergen. Museet er reist over restene av middelalderens Bjørgvin og viser levemåte og næringsforhold på 1100-1200 tallet.,"Ingvild Øye, Sjur B. Ellingsen, m.fl.","Marianne Giske, Arnt Brandseth",UMS,Bryggens Museum,Master,Nær-TV,ikke spillbar,,
1111,La Parure.,00:22:00,Wed Jan 01 00:00:00 CET 1986,U-MaticLB,"La Parure, fransk skuespill ved klasse 3, Laksevåg Gymnas",Reidun Oanes Andersen,Arnt Brandseth,UMS,,Master,,,,
1155,"Tu vois, c'est facile!",00:16:00,Wed Jan 01 00:00:00 CET 1986,U-MaticLB,"Ped.sem. Tu vois, c'est facile! Barn fra den franske skole leker pedagogiske leker.",Turid Trebbi,Arnt Brandseth,UMS,Ped. Seminar,Master,,,,
1170,IBM-senteret.,00:08:00,Tue Aug 26 00:00:00 CEST 1986,U-MaticLB,Åpning av IBM Researh Center i Bergen.,"Arnfinn Graue, Eyolf Haug",Arnt Brandseth,UMS,,Master,Nær-TV,,,
1199,Haugland Helsesportsenter & Evenes Blindesenter.,00:23:42,Fri Aug 01 00:00:00 CEST 1986,U-MaticLB,Haugland Helsesportsenter.  Evenes Blindesenter.,,Lars S. Wilhelmsen,UMS,,Master,NRK,,,
1212,AIR-konferanse. Presentasjon,00:06:38,Fri May 01 00:00:00 CEST 1987,U-MaticLB,"Presentasjon av Bergen, universitetsområdet, Nygårdshøyden, Haukelandsområdet, Årstadvollen, Odontologisk m.m. Bestilt av J. Teigland til AIR-konferansen i Bergen",,Arnt Brandseth,UMS,,Master,,,,
1223,Presentasjon,00:20:00,,U-MaticLB,"Presentasjon av av TV-produksjon ved UiB. Eksempel fra lokalhistorieprogrammene, UiB.",,,UMS,,Master,,,,
1243,Forvaltningsrett nr 4.,01:00:00,Mon Jun 01 00:00:00 CEST 1987,U-MaticLB,Forvaltningsloven - enkeltvedtak. Forelesning av Arvid Frihagen i serien Offentligrettslige skrifter.,Arvid Frihagen,Arnt Brandseth,Arvid Frihagen,Arvid Frihagen,Master,,,,
1245,Vågen Fysisk institutt :1,00:50:00,Mon Jun 01 00:00:00 CEST 1987,U-MaticLB,Jan Vågen ved Fysisk inst. intervjuer Hans Dahl.,"Jan Vågen, Hans Dahl",Stein Isaksen,,,Master,,,,
1246,Vågen Fysisk institutt :2,00:50:00,Mon Jun 01 00:00:00 CEST 1987,U-MaticLB,Vågen Fysisk ved Fysisk institutt intervjuer Hans Dahl.,"Jan Vågen, Hans Dahl",Stein Isaksen,,,Master,,,,
1272,Et samfunn i samfunnet. Haukeland Sykehus.,00:35:48,Mon Jun 01 00:00:00 CEST 1987,U-MaticLB,"Haukeland sykehus - et samfunn i samfunnet, informasjonsfilm om HAUKELAND SYKEHUS.",Ruth Brudvik,Arnt Brandseth,,Haukeland sykehus,Master,dvcprokopi,X Frode,,unr
1273,Forvaltningsrett nr 3.,00:50:00,Mon Jun 01 00:00:00 CEST 1987,U-MaticLB,Partsrettigheter i ansettelsessaker. Forelesning av Arvid Frihagen i forvaltningsrett i serien  Offentligsrettslige skrifter.,Arvid Frihagen,Arnt Brandseth,Arvid Frihagen,Arvid Frihagen,Master,,,,
1274,Forvaltningsrett nr 2.,00:40:00,Mon Jun 01 00:00:00 CEST 1987,U-MaticLB,Partsoffentlighet etter forvaltningsloven. Forelesning av Arvid Frihagen i forvaltningsrett i serien Offentligrettslige skrifter.,Arvid Frihagen,Arnt Brandseth,Arvid Frihagen,Arvid Frihagen,Master,,,,
1276,Forvaltningsrett nr 1.,00:35:00,Mon Jun 01 00:00:00 CEST 1987,U-MaticLB,Inhabilitet etter forvaltningsloven.  En forelesning av professor Arvid Frihagen i forvaltningsrett i serien Offentligrettslige skrifter.,Arvid Frihagen,Arnt Brandseth,Arvid Frihagen,Arvid Frihagen,Master,"Kr 300,-",,,
1318,Første semester.,00:27:00,Wed Jun 01 00:00:00 CEST 1988,U-MaticLB,Informasjonsfilm om UiB. Vi følger en kvinnelig student fra sitt første møte med Universitetet til avsluttet examen Philosopicum. Filmen er vel så mye en stemningsrapport som en faktafilm.,,Arnt Brandseth,UMS,AV-avdelingen,Master,Nær-TV,,,
1321,Endoskopisk ultralyd.,00:20:13,Thu Jan 01 00:00:00 CET 1987,U-MaticLB,"Endoskopisk ultralyd, Medical department Section of Gastroenterology","Svein Ødegaard, Bjarte Børkje.",Arnt Brandseth,UMS,,Master,,,,
1326,Presentasjon av AV-Avdelingen.,00:21:40,Fri Jan 01 00:00:00 CET 1988,U-MaticLB,Presentasjon av AV-Avdelingen,,Arnt Brandseth,UMS,,Master,,,,
1328,Fadderuke,00:03:57,,U-MaticLB,Fadderuke for nye studenter ved fysisk institutt,,Arnt Brandseth,UMS,,Master,,,,
1334,Carl Georg Hempel - krav til vitenskapelige forklaringer.,,,U-MaticLB,Carl Georg Hempel - krav til vitenskapelige forklaringer.  En forelesning av mag.art. Bjørn Holgernes,Bjørn Holgernes,,UMS,,Master,,,,
1339,Elektroniske bøker.,,Tue Jan 01 00:00:00 CET 1991,U-MaticLB,Elektroniske bøker.,,,UMS,,Master,,,,
2043,Arboretet på Milde.,00:22:57,Wed Aug 28 00:00:00 CEST 1985,U-MaticLB,"Arboretet ble etablert 1971 og rommer i dag tusentals planter, busker og trær.  På området finnes et rosarium, natursti og badeplass. Arboretet er en kilde til kunnskap og rekreasjon. Vi besøker denne botaniske hagen ved Fanafjorden og hører om bakgrunnen",,Gjartrud Kolaas,UMS,,Master,NRK,,,
