Tape_nr,Programtittel,Tid,Dato,Format,Innhold,Personer,Produsent,Rettigheter,Oppdragsgiver,Generasjon,Merknader,Column,Column 14,Column 15
3018,Derfra gaae Skibe.. Del 7: Byen sprenger grensene.,00:41:50,Wed Sep 17 00:00:00 CEST 1986,U-MaticLB,"Om byens fysiske vekst. Fra å være en by rundt Vågen ble Bergen etterhvert en by mellom og rundt fjellene. Befolkningsvekst, næringsutvikling, nye kommunikasjoner og følgene av bybrannen i 1916 og 2.verdenskrig er faktorer som har formet byens utseende.","Anders Bjarne Fossen, Tore Grønlie.",Gjartrud Kolaas,UMS,,Master,Nær-TV,X Frode,,A1206
3019,Derfra gaae Skibe.. Del 8: Byen skifter ham.,00:42:17,Wed Oct 01 00:00:00 CET 1986,U-MaticLB,"Om endringen i byens næringsliv i siste del av forrige århundre og frem mot 1. verdenskrig. Tiltagende industrialisering i og rundt byen, overgang fra seil til dampskip, nye kommunikasjonsmønster og fremveksten av en ny industriarbeiderklasse.","Anders Bjarne Fossen, Tore Grønlie.",Arnt Brandseth,UMS,,Master,Nær-TV,X Frode,,A1204
3020,Derfra gaae Skibe.. Del 9: En by i stagnasjon.,00:38:05,Wed Nov 19 00:00:00 CET 1986,U-MaticLB,"Om endringen i byens næringsstruktur fra mellomkrigsårene til vår egen tid. Nye kommunikasjoner og offentlige reguleringer svekker byens rolle som handelssentrum. Nord-Norge fører selv ut sine fiskevarer, mens Oslo og Stavanger overtar som importhavner.",Tore Grønlie.,Gjartrud Kolaas,UMS,,Master,Nær-TV,X Frode,,unr
3021,Derfra gaae Skibe.. Del 10: Bergen - hva nå.,00:42:25,Wed Dec 03 00:00:00 CET 1986,U-MaticLB,"Studiodebatt om byens nåtid og framtid, sett i et historisk perspektiv.","Henrik J. Lisæth, Elisabeth Aasen, Chr. Rieber, Tore Grønlie, Knut Helle, A.B. Fossen, Per J. Odeen.",Gjartrud Kolaas,UMS,,Master,Nær-TV,X Frode,,unr
3034,Hand i Hand.,,Sun Jan 01 00:00:00 CET 1989,U-MaticLB,Håndkirurgi. Reparasjon av skader i hånd.,Tore Haga,Tore Haga,Tore Haga,,Master,NRK,,,
3126,Kransåresykdommene 1-3,00:45:00,,U-MaticLB,Prog.1: Hjerteinfarkt.  Prog.2: Etter infarktet.  Prog.3: Agina Pectoris.,,J. Mæland m. fl.,UMS,,Master,dvcprokopi,X Frode,,unr
3127,Kransåresykdommene 4-5,00:45:00,,U-MaticLB,"Prog.4: Årsaker, forebygging.  Prog.5: Hjertet i sentrum",,J. Mæland m. fl.,UMS,,Master,dvcprokopi,X Frode,,unr
3128,Planteliv i fjellet.,00:30:00,Sat May 18 00:00:00 CEST 1985,U-MaticLB,Planteliv i fjellet. En lysbildeserie laget av studenter ved Botanisk Museum,,BOT,BOT,,Master,,,,
3129,Planteliv i fjellet,00:30:34,Thu Jan 10 00:00:00 CET 1985,U-MaticLB,Planteliv i fjellet,,BOT,BOT,,Master,,,,
3131,Kommunikative øvinger.,00:40:00,Wed Nov 21 00:00:00 CET 1984,U-MaticLB,1: Find the differences. 2: Describe and draw. 3: Describe and arrange. 4: All pictures identical except one. 5: One identical pair of pictures.,Per Orten.,Stein Isaksen,Ped.Sem.,Ped.Sem.,Master,,,,
3132,Aktiviserende undervisningsmodeller.,00:21:35,Tue Nov 20 00:00:00 CET 1984,U-MaticLB,"1: Holiday plans.2: Two nations, two peoples. 3: Discussing a topic. 4: Analysing a poem.",Per Orten.,Stein Isaksen,Ped.Sem.,Ped.Sem.,Master,,,,
3133,Tekstbehandling - et selvinstruerende læreprogram,00:47:50,Thu Oct 11 00:00:00 CET 1984,U-MaticLB,Tekstbehandling - et selvinstruerende læreprogram i Wang tekstbehandling.,Roald Skarsten.,Roald Skarsten,UMS,,Master,,,,
3135,Veiledning for lærere som underviser vietnamesiske elever i engelsk i videreg. skole,00:42:55,Tue May 01 00:00:00 CEST 1984,U-MaticLB,1: Innøving. 2: Tonemer. 3: Pararbeid. 4: Peer-teaching. 5: Intonasjonsøving.,Per Orten.,Stein Isaksen,UMS,,Master,,,,
3136,Norsk for utenlandske studenter. Innføringsprogram.,00:24:30,Wed May 01 00:00:00 CEST 1985,U-MaticLB,Forelesning for samfunnsvitenskapelig faggruppe.   Del 1.,Helge Østbye.,,UMS,,Master,,,,
3137,Norsk for utenlandske studenter. Inføringsprogram.,00:27:50,Wed May 01 00:00:00 CEST 1985,U-MaticLB,Forelesning for samfunnsvitenskapelig faggruppe.   Del 2.,Helge Østbye.,,UMS,,Master,,,,
3138,Anafylaktisk sjokk,00:19:00,Sat Oct 22 00:00:00 CET 1983,U-MaticLB,Marsvin som eksperimentell modell.,"Veterinær Richard Fosse, professor Nils Skaug og avdelingstannlege Gudvin Sydnes",Lars S. Wilhelmsen,UMS,,Master,,,,
3139,Anafylaktisk sjokk. Ulveutstilling. NAS-83 foredrag.,00:36:00,Sat Oct 22 00:00:00 CET 1983,U-MaticLB,1: Anafylaktisk sjokk.  2: Ulve-utstilling.  3: NAS-83 foredrag.,"Veterinær Richard Fosse, professor Nils Skaug og avdelingstannlege Gudvin Sydnes",Lars S. Wilhelmsen,UMS,,Dub,,,,
3140,Anaphylactic Shock,00:18:00,Sun Jun 03 00:00:00 CEST 1984,U-MaticLB,The Guinea Pig as an experimental model.,"Dr. Richard T. Fosse, Prof. Nils Skaug, Dr. Gudvin Sydnes",Lars S. Wilhelmsen,UMS,,Master,,,,
3142,Everyman calibration.  Machining copper spheres.,00:40:00,Fri Jan 01 00:00:00 CET 1982,U-MaticLB,Kalibrering av,Kenneth G. Foote,Stein Isaksen,UMS,,Master,,,,
3173,Førskolelærerutdanning/Barn i utvikling.,01:30:00,Mon Mar 05 00:00:00 CET 1990,S-VHS,Førskolelærerutdanning/Barn i utvikling. Pedagogikk: Teorier om lek og observasjon.,Wenche Lilletvedt,,FUV,,Master,,,,
3174,Ingen kunst.,00:58:23,Mon May 01 00:00:00 CEST 1989,S-VHS,Ingen kunst.  Studentproduksjon ved TV-faget,,,TV-faget,,Dub,,,,
3175,Ny fisk i aquakultur.,00:18:00,Mon May 01 00:00:00 CEST 1989,S-VHS,Ny fisk i aquakultur.  Studentproduksjon ved TV-faget,,,TV-faget,,Dub,,,,
3176,Laks for ernæringsinstituttet.,01:30:00,Wed May 16 00:00:00 CEST 1990,S-VHS,"Laks, for ernæringsinstituttet",,,UMS,,Master,,,,
3178,FUV-reportasje Askøy,00:07:57,Thu Feb 01 00:00:00 CET 1990,BetacamSP,"Reportasje fra Askøy om FUV sattelittsendinger, lang versjon",,Nils Arne Sæbø,UMS,,Dub,,,,
3191,Hardingfele,,Fri Sep 07 00:00:00 CET 1979,U-MaticLB,"Hardingfele. Anders Kjerland: ""Vetle-Bulken"", ""Ligangaren"", Vals etter Nils Tjoflot"".   Steinar Rygg: ""Halling etter Sjur Helgeland"",  Brudemarsj etter Ola Mossafinn"".","Anders Kjærland, Steinar Rygg.",Tellef Kvifte,UMS,,Master,,,,
3192,Unge Amazon-indianeres billeder.,01:00:00,Fri Jun 15 00:00:00 CEST 1984,U-MaticLB,"Videoprogram til utstillingen ""Unge Amazon-indianeres billeder"". Intervju med Leif Melskens ved Henning Siverts.","Leif Melskens, Henning Siverts.",Stein Isaksen,UMS,,Master,,,,
3193,ELDORADO,00:26:00,Thu May 24 00:00:00 CEST 1984,U-MaticLB,Åpning av gullutstilling på Historisk Museum. Taler ved: Rektor Arnfinn Graue.  Ambassadør Josè Pardo Llada.  Inst.styrer Kjell Falck.  Statssekr. Jan levy. Omvisning for Kong Olav v/dir. Maria Elvira Bonilla O.,"Arnfinn Graue, Josè Pardo Llada, Kjell Falck, Jan Levy, Kong Olav, Maria Elvira Bonilla O.",Stein Isaksen,UMS,,Master,,X Frode,,dropouts
3196,Hvor seiler vi?,00:21:00,Sat Jan 01 00:00:00 CET 1983,U-MaticLB,Bergen Sjøfartsmuseum: Hvor seiler vi ?,,Marianne Giske,UMS,,Master,,,,
3197,Hvor seiler vi? I vekterens spor.,00:47:00,Sat Jan 01 00:00:00 CET 1983,U-MaticLB,"I vekterens spor, Hvor seiler vi.",,Marianne Giske,UMS,,Dub,,,,
3199,Arboretet på Milde,00:09:00,Sat May 01 00:00:00 CEST 1982,U-MaticLB,Arboretet på Milde. Lysbilde program overført til video.,,Magnus Vabø,UMS,,Master,,ikke spillbar,,
3200,I vekterens spor.,00:26:00,Sat Jan 01 00:00:00 CET 1983,U-MaticLB,På vandring i middelalderbyen Bergen. Formålet er å vise noen av hovedtrekkene i middelalderen. Det er et poeng å vise at gater og bygninger fra middelalderen fortsatt finnes i Bergen. Vi får et inntrykk av byens omfang på 1300 tallet. Bryggens Museum.,Ingvild Øyen,Marianne Giske,UMS,,Master,,,,
3201,Funksjonshemmet barn - funksjonshemmmet familie?,01:00:00,Mon Feb 21 00:00:00 CET 1983,U-MaticLB,Funksjonshemmed barn - funksjonshemmed familie?,,,UMS,,Master,,,,
3202,Stell av fela.,00:32:00,Thu Jun 14 00:00:00 CEST 1984,U-MaticLB,Gjennomgang av følgende punkt: 1 Strengene. 2 Stillepinne. 3 Stol og lydpinn. 4 Felebogen. 5 Pussing. 6 Å legge fela i skrinet.,"Wigdis Espeland, Håvard Kvandal.",Tellef Kvifte,UMS,,Master,,,,
3204,Forberedelse til kirurgi.,00:09:40,Sun Jan 01 00:00:00 CET 1984,U-MaticLB,"Instruksjon av prosedyrer ved oral kirurgi: Påkledning, Håndvask, Steril oppdekning.",Trond Berge,Lars S. Wilhelmsen,UMS,,Master,,,,
3205,Kvinnemessa 1985,00:23:10,Wed May 01 00:00:00 CEST 1985,U-MaticLB,"Studenter gjør de noe da?. ""Tradisjonelle kvinneyrker"".   ""Akademisk frihet - frihet med mange ansvar"". Program laget for visning på kvinnemessa ""Klart vi kan"" i Bergenshallen 1985.","Anne B. Osland, Susanne Knutsen, Asta Berntsen, Turid Mattson, Thelma Kraft, Bente Sommersten.",Marianne Giske,UMS,,Master,,,,
3208,Dave Allen,,Sat Dec 27 00:00:00 CET 1980,U-MaticHB,Dave Allen program. 31/12: Året i bilder,,,,,Dub,,,,
3212,Revmatisme,,Tue May 18 00:00:00 CEST 1982,U-MaticHB,Opptak fra NRK??,,,,,Dub,,,,
3213,Smertelindring. 1,00:33:00,Thu Nov 01 00:00:00 CET 1984,U-MaticLB,"Smerte, opplevelser og konsekvenser.  Smertelindring med opiatmikstur.  Myter om bruk av smertestillende.  Pleiepersonalets rolle i smertebehandlingen.",Stein Husebø,Marianne Giske,UMS,,Dub,,,,
3214,Smertelindring. 2,00:41:00,Thu Nov 01 00:00:00 CET 1984,U-MaticLB,"Alternative smertebehandlingsmuligheter, spesielt morfin gjennom epiduralkateter.  Pasientens helhetssituasjon.",Stein Husebø,Marianne Giske,UMS,,Dub,,,,
3215,Offisiell åpning av Haukeland Sykehus.,01:00:00,Wed Nov 23 00:00:00 CET 1983,U-MaticLB,Offisiell åpning av Haukeland Sykehus.,"Kronprins Harald, kronprinsesse Sonja.",Lars S. Wilhelmsen,UMS,,Master,,,,
3216,Hygiene på tannlegekontor.,00:42:00,Sun Jan 01 00:00:00 CET 1984,U-MaticLB,Hygiene på tannlegekontor ved normal tannbehandling og hvordan man ved behandling av hepatitt-B pasienter må iverksette spesielle hygienetiltak.,"Ståle Myklebust, Nils Skaug.",Lars S. Wilhelmsen,UMS,,Master,,,,
3217,se innhold,00:42:00,Fri Jan 29 00:00:00 CET 1982,U-MaticHB,"Video 80 en demo-tape. ""Performance"" ved Halldor Asgeirson i Bergens kunstforening, ""Function and structure in primitive video processing"" - en Antrofilm (studentproduksjon)",,,UMS,,Dub,,,,
3218,Programutsnitt.,00:16:00,,U-MaticHB,"I vekternes spor.  ""Hvor seiler vi?"".  Medisinsk forskningssenter.  Barneavdelingen, Sentralblokken, Haukeland Sykehus.  ""Linda og Børge hos tannlegen"".  ""Anafylaktisk sjokk"".  ""Ulver"".",,,UMS,,Dub,,,,
3219,AV-avdelingens Videogrammer. 1,01:00:00,Fri Jun 01 00:00:00 CEST 1984,U-MaticHB,"En redigert eksempelsamling over videogrammer produsert ved AV-avdelingen, UiB.",,,UMS,,Master,,,,
3220,AV-avdelingens videogrammer. 2,00:33:00,Fri Jun 01 00:00:00 CEST 1984,U-MaticHB,"En redigert eksempelsamling over videogrammer produsert ved AV-avdelingen, UiB.",,,UMS,,Master,,,,
3224,Polyklonal antistoffproduksjon hos kanin.,,Mon Mar 19 00:00:00 CET 1984,U-MaticHB,Polyklonal Antistoff-produksjon hos kanin,M. Fosse,,UMS,,Master,,,,
3225,Short term dynamic therapy evaluation,,,U-MaticHB,Primærintervju  for evaluering av adekvat terapiform.,,,UMS,,Master,,,,
3227,Kjersti.,00:42:48,Sat Sep 01 00:00:00 CEST 1984,U-MaticHB,"Opptak for Norsk Forening til Kreftens Bekjempelse og Barneklinikken, Haukeland Sykehus",Atle Dyregrov,,UMS,,Master,,,,
3228,Når et barn dør plutselig.,00:57:00,Fri Aug 17 00:00:00 CEST 1984,U-MaticLB,Psykolog Atle Dyregrov intervjuer mor som plutselig har mistet sitt barn.,Atle Dyregrov,Stein Isaksen,UMS,,Master,,,,
3229,Ka i all Bergen!?,00:53:00,Sun Mar 23 00:00:00 CET 1980,U-MaticHB,"Ka i all Bergen!?,  Uken 80 - NHH.",,Stein Isaksen,UMS,,Master,,,,
3230,Vestlandske Bondestemna 50 år.,02:13:00,Mon Mar 14 00:00:00 CET 1983,"1""C +LB",Festkonsert i Grieghallen. Vestlandske bondestemna 50 år. Bømloteateret.,"Wigdis Espeland, Leif Rygg, Jon Eikemo, Gunnlaug Lien,",Knut Midttun,UMS,Bjørndalssamlingen,Master,,,,
3256,Gjenoppliving av nyfødte.,00:25:27,Tue Jan 01 00:00:00 CET 1985,U-MaticHB,"Undervisningsprogram om gjenopplivingsteknikk av nyfødte for lege- og jordmorstudenter, leger og jordmødre.","Trond Markestad, Terje Alsaker.",Arnt Brandseth,Markestad/UMS,,Master,"Kr 500,-",,,
3262,Pyrox grill.,00:18:00,Mon Apr 15 00:00:00 CEST 1991,"1"" C",Reklamefilm for Pyrox grill,,Jarle Fimland,Fjordfilm,Fjordfilm,Master,,,,
3263,Bangladesh. Scrødingers katt.,00:05:35,Wed May 01 00:00:00 CEST 1991,"1"" C","Reportasje fra Bangladesh om befolkningsproblemer, fra landsby, fra Dhaka, intervju med Tone Bleie CMI. Schrødingers katt.",Tone Bleie,Bjørn Vassnes,UMS,,Master,NRK,,,
3266,Norsk historie 1: Fortida i nåtida.,00:34:00,Tue Feb 26 00:00:00 CET 1991,"1"" C",Norsk historie program 1.,,Unni Arnøy,UMS,NFU,Master,NRK,,,
3294,Kveding,01:30:00,Tue Feb 12 00:00:00 CET 1991,BetacamSP,Første masterutgave om Ragnar Vigdal om kveding,Ragnar Vigdal,Arnt Brandseth,UMS,Bjørndalssamlingen,Master,,,,
3349,Tilfellet Tellus 1-5,03:00:00,Fri Nov 01 00:00:00 CET 1991,"1"" C",5 første program Tilfellet Tellus,,Arnt Brandseth,UMS,,Dub,Kopiering,,,
3393,Birger Tvedt - Et liv i bevegelse.,00:34:00,Thu Aug 01 00:00:00 CEST 1991,BetacamSP,Portrett av Birger Tvedt. Om fysioterapi.,"Birger Tvedt, Reidar Aarskog.",Jorunn Tveit,Fysioterapiskole/UMS,Fysioterpiskole,Master,Fysio.skol,,,
3425,Showreel 1998,00:59:00,Mon Feb 15 00:00:00 CET 1999,U-MaticLB,Showreel 1998. Sammensatte snutter ca 1 times varighet,,Univisjon,Univisjon,,Dub,Nygaten,,,
3452,"Åkleveving på ""Opstøstol"".",00:18:00,Tue May 10 00:00:00 CEST 1994,BetacamSP,"Åkleveving på ""Oppstøstol"", fra Tveita gård, Øvre Hålandsdal, Hordaland, overført fra 16mm film, 1956 av Per Gjærder og Marta Hoffman",,Per Gjærder,Bergens Museum Hist,Hist.Mus.Fotoseksjon,Master,,,,
3455,Fjernord.,00:30:45,Wed Sep 01 00:00:00 CEST 1993,BetacamSP,Fjernord: Introduksjonsprogram,"Linda Vågenes, Magne Eide Møster, Bjarne Fidjestøl, Lars Vassenden,  Asbjørn Aarseth, kunstnere",May-Britt Skjelvik,Univisjon,,Dub,,,,
3480,Norsk historie 4: Historikeren i arbeid.,00:30:00,Fri Nov 01 00:00:00 CET 1991,"1"" C",Norsk historie program 4.,,Unni Arnøy,Univisjon,,Master,NRK,,,
3485,Norsk historie 2: På spor etter fortiden.,00:30:00,Fri Nov 01 00:00:00 CET 1991,"1"" C",Norsk historie program 2.,,Unni Arnøy,Univisjon,,Master,NRK,,,
3486,Norsk historie 3: Å forklare og forstå fortida.,00:30:00,Fri Nov 01 00:00:00 CET 1991,"1"" C",Norsk historie program 3.,,Unni Arnøy,Univisjon,,Master,NRK,,,
3487,"Tellus 5: Grøne pengar, ny økonomi.",00:30:00,Fri Nov 01 00:00:00 CET 1991,"1"" C","Grøne pengar, ny økonomi Tellus","Jacob Bomann-Larsen, Per Schreiener, Ekins, Robertson, Dargue, Harper, Madoo, Miri",Arnt Brandseth,Univisjon,,Master,NRK,,,
3488,Sinjarheim.,,Tue Nov 26 00:00:00 CET 1991,"1"" C",Sinjarheim Restaurering av gammel fjellgard i Aurlandsdalen.,"Hans-Emil Lidèn, Kaare Sønnerheim, Morten Clemetsen.",Roald Larsen,Univisjon,,Master,,,,
3489,Tellus 7: Matproduksjon for framtida.,00:30:00,Fri Nov 01 00:00:00 CET 1991,"1"" C",Matproduksjon for framtida Tellus,"Oddekalv, Kåre Årsvoll, Kåre Torvik, Høgstedt, Bu, Edland, Svåsand, Boxaspen, Mikelsen, Andersen, Mø",Arnt Brandseth,Univisjon,,Master,NRK,,,
3490,Tellus 10: Håpet er lysegrønt.,00:30:00,Fri Nov 01 00:00:00 CET 1991,"1"" C",Håpet er lysegrønt Tellus,"Dag Hareide, Olav Gjærevold,Kristin Eskeland, Sigmund Kvaløy Sætereng.",Arnt Øivind Siem,Univisjon,,Master,NRK,,,
3495,Kværner Fjellstrand MDS Clipper.,00:06:00,Thu Apr 01 00:00:00 CEST 1993,"1"" C",Kværner Fjellstrand film om MDS Clipper foilsystem med intevju,,Victor Dahl,AG Visuell,AG Visuell,Master,,,,
3495,Kavli på tube.,00:00:30,Thu Apr 01 00:00:00 CEST 1993,"1"" C",Reklamespot for Kavli tubepålegg,,Victor Dahl,AG Visuell,AG Visuell,Master,TV2,,,
3536,Videoplateprosjektet.,,Wed Aug 01 00:00:00 CEST 1990,BetacamSP,"Videoplate med innslag bl.a. fra ""Haukelandsvideon"". Anna Sørbø. Det er en NTSC-kopi av platen som er laget i USA.",,Arnt Brandseth,Univisjon,,Dub,,,,
3537,Tellus 5-10,03:00:00,Fri Nov 01 00:00:00 CET 1991,"1"" C",Tilfellet Tellus program 5 - 10,,Arnt Brandseth,Univisjon,,Dub,Kopiering,,,
3538,Logi,,Fri Nov 01 00:00:00 CET 1991,BetacamSP,"Nedtellingslogo for UMS, Sluttlogo for UMS 1991-1992 diverse logi",,"UMS, Viscom",Univisjon,,Master,,,,
3653,Millionær for 14 dager.,,Mon Sep 11 00:00:00 CEST 1995,BetacamSP,16 mm film overført til video av tur med Stella Polaris 1950. Tilhører Bergens sjøfartsmuseum. Ny lyd på spor 2.,,,Bg. Sjøfartsmuseum,Bg. Sjøfartsmuseum,Dub,,,,
3670,Ivana.,00:21:33,Sun Mar 01 00:00:00 CET 1992,BetacamSP,Rollespil i studio A for interaktiv video.,,Arnt Brandseth,Univisjon,,Master,,,,
3689,Tellus 1:Myten om det reine vatnet.,00:28:23,Fri Nov 01 00:00:00 CET 1991,"1"" C",Myten om det reine vatnet Tellus,"Ragnar Vik, Gunnar Langeland, Øgård, Leivestad, Alexander, Oddekalv, Krogh, Ulvesæter, Eikebrokk, Aa",Arnt Brandseth,Univisjon,,Master,NRK,,,
3690,Tellus 2: Den helsefarlege maten.,00:29:28,Fri Nov 01 00:00:00 CET 1991,"1"" C",Den helsefarlege maten Tellus,"Merete Askim, Gunhild Galleberg, Monica Nuth, Audun Myskja, Sund, Aas, Brimi, Brendehaug, Midtvedt",Arnt Brandseth,Univisjon,,Master,NRK,,,
3691,Tellus 3: Mot eit nytt jordbruk.,00:29:11,Fri Nov 01 00:00:00 CET 1991,"1"" C",Mot eit nytt jordbruk Tellus,"Reidar Almås, Rolf Jens Brunstad, Mortensen, Brendehaug, Lundteigen, Goksøyr, Krøger, Golten, Huftha",Arnt Brandseth,Univisjon,,Master,NRK,,,
3692,Tellus 4: Å ta vare på livet.,00:29:00,Fri Nov 01 00:00:00 CET 1991,"1"" C",Å ta vare på livet Tellus,"Andreas Steigen, Gunnar Langeland,Sødal, Aas, S.Paulsen, Bendiksen, Håland, Bøckmann, Gausen, Chapma",Arnt Øivind Siem,Univisjon,,Master,NRK,,,
3693,Tellus 6: Etter oljealderen.,00:29:05,Fri Nov 01 00:00:00 CET 1991,"1"" C",Etter oljealderen Tellus,"Harald Røstvik, Henrik Ager-Hansen, Ervik, Lindeberg, Rekstad, Marton, Solberg, Tunold, Beck, Ratkje, Str",Arnt Brandseth,Univisjon,,Master,NRK,,,
3694,Tellus 8: Til siste dråpe.,00:28:57,Fri Nov 01 00:00:00 CET 1991,"1"" C",Til siste dråpe Tellus,"Terje Tvedt,Svein Stene Johansen,",Arnt Brandseth,Univisjon,,Master,NRK,,,
3695,Tellus 9: Vårt største miljøproblem.,00:29:07,Fri Nov 01 00:00:00 CET 1991,"1"" C",Vårt største miljøproblem Tellus,"Ove Bengt Berg, Sidsel Sanderlien, Pedersen, Vikøren, Larsen, Kolstad, Otter, Hummerfeldt, Hov, Kols",Arnt Brandseth,Univisjon,,Master,NRK,,,
3696,Egenpresentasjon.,,Sun Mar 01 00:00:00 CET 1992,"1"" C",Egenpresentasjon,,Arnt Brandseth,Univisjon,UMS,Master,,,,
3697,Tellus-anslag,,Fri Nov 01 00:00:00 CET 1991,"1"" C",Tellus-anslag.,,Arnt Brandseth,Univisjon,,Master,,,,
3702,Norsk historie,00:02:00,Fri Nov 01 00:00:00 CET 1991,"1"" C",Vignett: Skip og runer Norsk historie,,Viscom,Univisjon,,Master,,,,
3782,Prisme 9,,Sat May 01 00:00:00 CEST 1999,BetacamSP,"VB-innslag til Prisme 9. Enquet: hva nordmenn tror er vanskelig med norsk tale, T.V.Torgersen-(NRK har rettigheter) ""Krukken ruller"" asiater leser norsk, intervju med thailandsk mor og datter om språkopplæring.","Marit Helene Kløve, Jon Erik Hagen, Trond Viggo Torgersen",Ruth Bjørø Birkeland,NRK/Univisjon,SEVU,Master,NRK,,,
3817,Univers 5000:På jakt etter stimuli.,00:25:00,Sun Nov 01 00:00:00 CET 1992,BetacamSP,På jakt etter stimuli.,,"AB, AØS, NAS",Univisjon,,Master,,,,
3836,Belastningslidelser Norsk Hydro.,00:11:20,Tue Sep 01 00:00:00 CEST 1992,BetacamSP,Belastningslidelser Norsk Hydro,,Nils Arne Sæbø,Hydro,Hydro,Master,,,,
3874,Ivana 1,00:30:00,Sun Nov 01 00:00:00 CET 1992,BetacamSP,Opptak av scener til videoplateprosjektet Ivana 1,,Arnt Brandseth,Univisjon,,Master,,,,
3875,Ivana 2,00:30:00,Sun Nov 01 00:00:00 CET 1992,BetacamSP,Opptak av scener til videoplateprosjektet Ivana 2,,Arnt Brandseth,Univisjon,,Master,,,,
3882,Fjernord,,,"1"" C",Fjernord-forelesninger:,"Ole Jørgen Johannessen,  Jarle Rønhovd,  Asbjørn Aarseth",Xavier Bonète,Univisjon,,Master,,,,
3902,Familiedag 1992,00:12:05,Mon Jun 01 00:00:00 CEST 1992,BetacamSP,"Reportasje fra Hydro sin familiedag på Sandsli 1992. Il Tempo Gigante, videograf(Ivo Caprino), Hydros Forskningssenter",Ivo Caprino,Nils Arne Sæbø,Hydro,Hydro,,,,,
3937,IVANA 1,00:30:00,Sun Nov 01 00:00:00 CET 1992,BetacamSP,"Scener og bilder til IVANA, master for videoplate.",,Arnt Brandseth,UMS,,Master,,,,
3938,IVANA 2,00:30:00,Sun Nov 01 00:00:00 CET 1992,BetacamSP,"Scener og bilder til IVANA, master for videoplate.",,Arnt Brandseth,UMS,,Master,,,,
3947,Kavli Knekkebrød + kaviar,,Sun Nov 01 00:00:00 CET 1992,BetacamSP,Reklamespot (ikke brukt) gutt som spør etter knekkebrød med kaviar,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
3967,Univers 5000:Alle andre får jo barn.,00:29:01,Tue Nov 17 00:00:00 CET 1992,BetacamSP,Alle andre får jo barn,,Arnt Øivind Siem,UMS,,Dub,TV2,,,
3978,Univers 5000: Kosthold med bismak.,00:26:14,Fri Sep 10 00:00:00 CEST 1993,BetacamSP,Kosthold med bismak.,,Arnt Øivind Siem,UMS,,Master,,,,
3979,Hjerne og adferd,,Mon Apr 01 00:00:00 CEST 1996,,"Hjerne og adferd, ferdig redigerte reportasjer",Kenneth Hugdahl,Arnt Brandseth,,NKI,Master,,,,
3990,Fjernord,,Thu Dec 03 00:00:00 CET 1992,"1"" C","Diverse innslag og reportasjer brukt i Fjernord, Et Dukkehjem i Sjangeren dramatikk.",,May-Britt Skjelvik,Univisjon,,Master,,,,
3991,Fjernord,,,"1"" C",Diverse innslag og reportasjer brukt i Fjernord,,May-Britt Skjelvik,Univisjon,,Master,,,,
4007,Reform -94.,01:00:00,Fri Oct 01 00:00:00 CET 1993,"1"" C",Reform -94: Program 1 + 2,,Arnt Brandseth,UMS,KUF,Dub,,,,
4021,Vitalrevyen 1992,00:09:00,Tue Dec 15 00:00:00 CET 1992,BetacamSP,Vitalrevyen 1992,,Nils Arne Sæbø,Vital,Vital,,,,,
4031,Fjernord Trailer.,00:13:00,Wed Sep 01 00:00:00 CEST 1993,BetacamSP,Trailer Fjernord.,Arnt Øyvind Siem,May-Britt Skjelvik,Univisjon,SEVU,Master,NRK,,,
4042,Voluspå. L2,00:05:32,Tue Jun 01 00:00:00 CEST 1993,BetacamSP,Reportasje om Voluspå,"Gro Steinsland, Riss dansekompani",May-Britt Skjelvik,Univisjon,,Master,,,,
4052,Univers 5000: Frisk via TV-skjermen.,00:25:42,Fri Sep 10 00:00:00 CEST 1993,BetacamSP,Frisk via TV-skjermen.,,Arnt Øivind Siem,UMS,,Master,,,,
4069,Måkeskit.,00:00:28,Fri May 01 00:00:00 CEST 1992,BetacamSP,"Reklamespot om tiøren som går ut av bruk, Statens Info-tjeneste",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4069,Bussen.,00:00:43,Fri May 01 00:00:00 CEST 1992,BetacamSP,"Reklamespot om tiøren som går ut av bruk, Statens Info-tjeneste",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4070,Stopp narkotika.,,Fri May 01 00:00:00 CEST 1992,BetacamSP,"Statens informasjonstjeneste, Reklamespot om narkotika, jul, mann med liten jente og fotoalbum",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4078,Sjukdom på Akvariefisk.,00:03:00,Thu Sep 01 00:00:00 CEST 1994,BetacamSP,Reportasje til Ut i Naturen på sjukdom på Akvariefisk og risiko med dette!,Forsker Arne Larsen,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,NRK,,,
4084,Paralellkjøring med Kværner MDS.,00:06:00,Thu Oct 01 00:00:00 CET 1992,BetacamSP,Katamaranbåter med og uten MDS ved Marsteinen,,Nils Arne Sæbø,Kværner/AG Visuell,Kværner/AG Visuell,,,,,
4123,Det norske 3: Bare på museum?,00:28:00,Sat Oct 16 00:00:00 CET 1993,BetacamSP,Det Norske: Bare på museum,,Bjørn Vassnes,Univisjon,,Master,NRK,,,
