Ref,Programtittel,Lengde,Prod_dato,Arkivert,Format,Opptaksted,Innhold,Produsent_Regi,Oppdragsgiver,Emne,Personer,Rettigheter,Lyd,Foto,Arkivert_Billy
246.0,‘Moana: The Rising of the Sea’ – Promo Trailer for the European Tour 2015,,2014.0,09.10.15,HD,‘Moana: The Rising of the Sea’ – Promo Trailer for the European Tour 2015,"‘Moana: The Rising of the Sea’ – Promo Trailer for the European Tour 2015. This Pacific drama performance about the effect of climate change on the lives of the island peoples is on tour in Europe during May-June 2015, with an ensemble of 30 dancers and singers from the Oceania Centre for Arts, Culture and Pacific Studies of the University of the South Pacific, Suva, Fiji. Starting in Norway at the Bergen International Festival, ‘Moana’ travels to the United Kingdom, Denmark and to Brussels, Belgium. The tour includes a performance at the European Parliament. A 35-minute film version drawing on the entire show is also available through Vimeo. ‘Moana: The Rising of the Sea’ is funded by the European Union through the European Consortium for Pacific Studies, and the European Tour is funded mainly by the University of Bergen.","Edward Hviding, Frode Ims",UiB,‘Moana: The Rising of the Sea’ – Promo Trailer for the European Tour 2015,Edward Hviding,Hviding,,,
247.0,Muséplassen 1: A house fit for a leader,,2014.0,09.10.15,HD,Muséplassen 1: A house fit for a leader,"Muséplassen 1: A house fit for a leader. The building at the address of Muséplassen 1, facing the University Museum of Bergen, an important part of UiB’s history, and today houses the leadership of the university. The pictures in this photo essay were originally shot for UiB’s English-language magazine by photographer Eivind Senneset. We added some black and white photos courtesy of the University of Bergen Library’s Department of Special Collections to show how a recent refurbishment of the building has brought the interior up to date and reflecting life and leadership at the University of Bergen today. Still photos: Eivind Senneset and Department of Special Collections, University of Bergen Library. Editing: Frode Ims. Text: Sverre Ole Drønen","Frode Ims, Sverre Drønen",UiB,Muséplassen 1: A house fit for a leader,,UiB,,,
248.0,Redelighetskonferansen 2015 - Juksefilm,,2014.0,09.10.15,HD,Redelighetskonferansen 2015 - Juksefilm,Redelighetskonferansen 2015 - Juksefilm,Frode Ims,UiB,Redelighetskonferansen 2015 - Juksefilm,,UiB,Frode Ims,Frode Ims,
249.0,Semesteråpning 2014,,2014.0,09.10.15,HD,Semesteråpning 2014,Semesteråpning 2014. Hans-Wilhelm Steinfelds tale til nye studenter,Arnt Brandseth,UiB,Semesteråpning 2014,Hans-Wilhelm Steinfeld,UiB,Arnt Brandseth,Arnt Brandseth,
250.0,Åpningsseremoni 2015,,2014.0,09.10.15,HD,Åpningsseremoni 2015 ,Åpningsseremoni 2015. De nye studentene ved Universitetet i Bergen kunne knapt bedt om en mer tradisjonell bergensk velkomst: Det regnet tett i Nygårdsparken da det akademiske året offisielt ble åpnet 11. august med taler fra blant annet statsminister Erna Solberg.,Frode Ims (klipp),UiB,Åpningsseremoni 2015 ,,UiB,,,
251.0,Terje Manger - forelesning - Motivasjon og mestring,,2014.0,09.10.15,HD,Terje Manger - forelesning - Motivasjon og mestring,Terje Manger - forelesning - Motivasjon og mestring. 20 minutters introduktion til temaet om motivation og mestring af professor Terje Manger. Oppdrag fra LSP - Laboratorium for forskningsbaseret skoleudvikling og pædagogisk praksis,Frode Ims,UiB,Terje Manger - forelesning - Motivasjon og mestring,Terje Manger,UiB,,,
252.0,Et arkeologisk reisebrev fra Sør-Afrika,,2014.0,09.10.15,HD,TRACsymbols,Et arkeologisk reisebrev fra Sør-Afrika - PhD student Magnus Haaland tok med seg kamera til utgraving i Sør-Afrika. Her er resultatet. Southern Cape Sapiens. Archaeological postcard from South-Africa,Frode Ims,UiB,arkeologi,Magnus Haaland,UiB,,,
253.0,Velkommen til UiB!,,2015.0,09.10.15,HD,Velkommen til UiB!,"Velkommen til UiB! Akkurat nå er det stille på universitetet, men bare vent... På mandag begynner det nye semesteret. Da kommer det til å vrimle av nye og gamle studenter her. Vi gleder oss! Velkommen skal dere være!",Frode Ims,UiB,Velkommen til UiB!,,UiB,,,
254.0,Vitenskapshvelvet 2013 - 2014,,2015.0,09.10.15,HD,Vitenskapshvelvet 2013 - 2014,"Vitenskapshvelvet 6. Episodebeskrivelse. I en vitenskapelig miks fra Universitetet i Bergen kan du bl.a. bli med en 150 år gammel elvemusling til tannlegen, se hvorfor skolene i Finland lykkes og få kunnskap om hvordan personnummeret ble til. Produsert av Univisjon, Universitetet i Bergen. Vitenskapshvelvet 7. Episodebeskrivelse. Forskere og studenter er ofte ute for å samle materiale, som kan fortelle oss mer om både fortid og fremtid. Turen går til grotter i Sør-Afrika, via lyngheier i Hordaland, til smeltende is i Qeqertarsuaq på Grønland. Produsert av Univisjon, Universitetet i Bergen.","Arnt Brandseth, Frode Ims, May-Britt skjelvik, Solrun Drægelid",UiB,Vitenskapshvelvet 2013 - 2014,,UiB,,"Frode Ims, Arnt Brandseth",
255.0,Håkonshallen 750,,2015.0,29.02.16,HD,Håkonshallen 750,"Håkonshallen 750. Film 1: Håkon Håkonsson. Håkon var bare 13 år når han ble konge i Norge. Hvordan er det mulig at et barn fikk makten i landet? Film 2: Håkonshallen – restaurering. Håkonshallen har blitt restaurert flere ganger i  historien. Den siste gangen var etter den store eksplosjonsulykken i 1944. Film 3: Kongespeilet. Filmen handler om overgangen fra vikingtidens krigerkultur til mildere ridderideal.  Kongespeilet er en bok om datidens skikk og bruk. Film 4: Det kongelige bryllup. Historien om Håkonshallen starter med et kongelig bryllup.  Prins Magnus giftet seg med prinsesse Ingeborg fra Danmark. Manus: Baard Olav Skogrand, Anne Brit Vihovde",Arnt Brandseth,UiB,Håkonshallen 750,,UiB,,Frode Ims,
256.0,Museumsprosjektet,,2013.0,28.04.16,SD+HD,Museumsprosjektet 2013,"Universitetsmuseet stengte dørene for oppussing i november 2013, og er planlagt oppusset for ca. 600 millioner kroner frem mot gjenåpning i 2019. KA/Univisjon fulgte prosessen fra byggestart frem til åpningen av Aulaen 2 sept 2015",Arnt Brandseth,UiB,Museet 2013. Museumsprosjektet,,UiB,,"Frode Ims, Arnt Brandseth",
257.0,An international PhD training school in Climate Dynamics (ACDC) visits Greenland ,,2014.0,01.07.16,HD,An international PhD training school in Climate Dynamics (ACDC) visits Greenland ,"The Advanced Climate Dynamics Courses (ACDC) are yearly international research training schools for PhD students organized by the Bjerknes Centre for Climate Research in Bergen in collaboration with the Norwegian Research School in Climate Dynamics (ResClim). ACDC is a part of the partnership programme between the University of Bergen and universities in North America sponsored by SiU. The partnership includes the University of Washington in Seattle, Massachusetts Institute of Technology (MIT) in Cambridge, University of Massachusetts Amherst, and Memorial University of Newfoundland. Each year students and lecturers visit remote locations to study and discuss current topics within climate science. The school includes field work, group discussion and interdisciplinary lectures by some of the most recognized scientists in the field. In 2014, the focus was on the dynamics of the Greenland ice sheet and the venue for ACDC was Disko Island on the west coast of Greenland. Climate, greenland, acdcsummerschool, researchtraining, resclim, uib, climatedynamics, icesheets, glaciers, siu, qeqertarsuaq, arcticstation, interdisciplinary,",Frode Ims,UiB,An international PhD training school in Climate Dynamics (ACDC) visits Greenland ,Kerim Hestnes Nisancioglu,UiB,,Frode Ims,
258.0,Barn prater om familien,,2015.0,01.07.16,HD,Barn prater om familien,"Barn fra Låven barnehage filosoferer rundt temaet ""familien"". Innslaget ble laget i forbindelse med et seminar for å markere 100 års jubileet for De castbergske barnelovene av 1915.",Frode Ims,UiB,Barn prater om familien,,UiB,,Frode Ims,
259.0,Demografi - Christiekonferansen 2016. Fremtidsbyen - Christiekonferansen 2016,,2016.0,01.07.16,HD,Christiekonferansen 2016,"Demografi er tallene om oss alle. Hva kan dagens tall fortelle oss om hvordan fremtidens samfunn blir? En introduksjonsfilm til Christiekonferansen 2016, hvor temaet er demografi. Byene må gå foran om vi skal kutte ressursbruk og klimautslipp. Hvordan kan det gjøres? En introduksjonsfilm til sesjonen «Fremtidsbyen» under Christiekonferansen 2016. Tema for årets konferanse er demografi. Journalist: Anders Kjetland. Redigering & foto Bergen: Frode Ims. Grafikk: Lars Olaf Haaheim. Voice: Siri Lill Mannes. Bilder og intervjuer fra Bristol: www.griot.co.uk. Stock video footage: www.colourbox.com","Frode Ims, Anders Kjetland",UiB,Demografi - Christiekonferansen 2016. Fremtidsbyen - Christiekonferansen 2016,,UiB,,Frode Ims,
260.0,Franskseksjonen,,2015.0,01.07.16,HD,Franskseksjonen,"Franskseksjonen. SAK - Høsten 2015. Margery Vibe Skagen. ""Les Confessions de Jean-Jacques Rousseau"". SAK - Høsten 2015. Margery Vibe Skagen. Jean Starobinski. SAK - Høsten 2015. Kjersti Fløttum. FONCTIONS DU LANGAGE - ENONCIATION - TEXTE",Arnt Brandseth,UiB,Franskseksjonen,"Margery Vibe Skagen, Kjersti Fløttum",UiB,,Arnt Brandseth,
261.0,Michael Cook - Holberg Prize laureate 2014,,2014.0,01.07.16,HD,Michael Cook - Holberg Prize laureate 2014,"Michael Cook about Islam’s revival and the close link the religion has with politics. Music: Jamendo - Snowflakes (feat. Lii) by Fonogeri. Michael Cook, Islam, revival, religion, politics, Holberg Prize, Holbergprisen, laureate, 2014, Bergen, Norway, Norge",Frode Ims,UiB,Michael Cook - Holberg Prize laureate 2014,Michael Cook,UiB,,Frode Ims,
262.0,The Holberg Conversation 2015: Marina Warner,,2015.0,01.07.16,HD,The Holberg Conversation 2015: Marina Warner,"Marina Warner, Holberg Prize Laureate 2015, in conversation with Kari Jegerstedt from University of Bergen. Marian Warner received the Holberg Prize 2015 for her work on the analysis of stories and myths and how they reflect their time and place. Kari Segerstedt, Marina Warner, Holberg Prize Laureate 2015, University of Bergen, analysis of stories and myths, Holberg Prize 2015",Holbergprisen/KA,UiB,The Holberg Conversation 2015: Marina Warner,Marina Warner,UiB,Magnus Øverli,"Frode Ims, Arnt Brandseth, Magnus Øverli",
263.0,Ice2Ice 2016,,2016.0,01.07.16,HD,Ice2Ice 2016,"Idea and script Evangeline Sessford, Sarah Berben, Amandine Tisserand. Filming Evangeline Sessford Sarah Berben. Editing Arnt Brandseth. Narration Evangeline Sessford. Advisor Jørund Strømsøe. Archive footage Greenland. Frode Ims - University of Bergen. Jason Amundson - University of Alaska. Figures and animations. Greenland NGRIP d18O data. Centre for Ice and Climate. http://www.iceandclimate.nbi.ku.dk/data/. Figure Evangeline Sessford","Evangeline Sessford, Sarah Berben, Amandine Tisserand, Arnt Brandseth",UiB,Ice2Ice 2016,,UiB,,"Evangeline Sessford, Sarah Berben",
264.0,Paleoclimatology 101: Searching in the deep sea libraries,,2016.0,01.07.16,HD,Paleoclimatology 101: Searching in the deep sea libraries,"Join Ida Olsen, master student in Earth Science, on a real research cruise to the Nordic Seas. Researchers from UiB, Uni Research and the Bjerknes Centre were heading out at sea to gather glimpses from the climate archives hidden in the ocean floors. In the ice2ice project, they are trying to find out what happens if the Arctic sea ice disappears. Idea & script by Evangeline Sessford, Sarah Berben, Amandine Tisserand. Filming: Sarah Berben, Evangeline Sessford. Editing: Frode Ims. Cartoon drawings & design: Amandine Tisserand. Advisor: Gudrun Sylte, Frode Ims. Planning: Sarah Berben, Evangeline Sessford, Amandine Tisserand, Jørund Strømsøe. Narration: Evangeline Sessford. Film appearance: Ida Olsen, Bjørg Risebrobakken, Margit Simon, Henrik Sadatzki, Jørund Strømsøe, Mads Poulson, Eystein Jansen, Kerstin Perner, Ashley Braunthal, Amandine Tisserand. Drone shot of G.O. Sars: Along Mekong. Productions: Rolf Lambert, Manfred Linke, André Götzmann. Foto av G O Sars. Fotograf: L. Forbech. Universitetsbiblioteket i Bergen. University, University of Bergen, Uni, Ice2Ice, Earth science, Climate Science, climates of the past, paleoclimates, research cruise, sediment cores, Arctic, sea ice, Nordic Seas, g o sars, uni research, bjerknes centre for climate rese, erc, european research council","Evangeline Sessford, Sarah Berben, Amandine Tisserand, Frode Ims",UiB,Paleoclimatology 101: Searching in the deep sea libraries,,UiB,,"Evangeline Sessford, Sarah Berben",
265.0,Klima MOOC - Bjerknes,,2015.0,01.07.16,HD,Klima MOOC - Bjerknes,Klima MOOC - Bjerknes,Arnt Brandseth,UiB,Klima MOOC - Bjerknes,,UiB,,Frode Ims,
266.0,“Når vi snakker om klima” - LINGKLIM,,2016.0,01.07.16,HD,Bergen,"Filmen har som mål å vise språkets rolle og mangfoldet av meninger i klimadebatten. Den viser også hvordan det tverrfaglige prosjektet LINGCLIM har arbeidet for å finne ut mer om hvordan klimaspørsmålet fremstilles og hvordan språkbruken kan påvirke meninger og holdninger. Filmen gir eksempler på stemmer fra en rekke ståsteder som deltar i debatten og som utdyper syn på hva som er viktig for fremtiden. Personer som er intervjuet kommer fra forskning, media, næringsliv, organisasjoner og politikk. Temaer som omtales er språkbruk, språkets påvirkning, verdisyn, følelser, media, reklame, økonomi og fremtidsperspektiver. Visuelle innslag omfatter blant annet bilder/videoer av mennesker i ekstremvær, unge og eldre aksjonister, industri, utslippskilder, konsekvenser av ekstremvær for mennesker og natur, teknologiske løsninger. Målgrupper: det allmenne publikum, skoleelever og studenter, forskere fra ulike fagfelt. En film av 1001 Films for LINGCLIM-prosjektet, Institutt for fremmedspråk, Universitetet i Bergen. Prosjektleder: Kjersti Fløttum. Regissør og produsent: Anwar Saab. Finansiert av Norges forskningsråd, SAMKUL-programmet.","Anwar Saab, Kjersti Fløttum",UiB,“Når vi snakker om klima” - LINGKLIM,,UiB,,Anwar Saab,
267.0,Nytt flygel til Aulaen NATURHISTORISK,,2016.0,01.07.16,HD,Bergen,Nytt flygel til Aulaen NATURHISTORISK,Arild Grindheim,UiB,Nytt flygel til Aulaen NATURHISTORISK,,UiB,,Arild Grindheim,
268.0,SEAT 2,,2012.0,01.07.16,HD,Bangladesh,SEAT 2 - Prosjektfil,"Arnt Brandseth, May-Britt Skjelvik",UiB,SEAT 2,,UiB,,Frode Ims,
269.0,Studentfilmer 2014,,2014.0,01.07.16,HD,Bergen,"Studentfilmer 2014 På oppdrag fra SA. Staniszau Dzelieski, Sverre Hartveit, Linn Dodds, og Marie Storlien forteller om sine erfaringer. ","Frode Ims, Solrun Drægelid",UiB,Studentfilmer 2014,"Staniszau Dzelieski, Sverre Hartveit, Linn Dodds, Marie Storlien ",UiB,,Frode Ims,
270.0,"Terje Manger - Motivasjon, tro, ros.",,2016.0,01.07.16,HD,Bergen,"Terje Manger - Motivasjon, tro, ros.",Frode Ims,UiB,"Terje Manger - Motivasjon, tro, ros.",Terje Manger,UiB,,Frode Ims,
271.0,Vitenskapshvelvet 2015,,2015.0,01.07.16,HD,Bergen,"Vitenskapshvelvet 2015. Vitenskapelig miks hvor du får vite hvorfor torsk kan få dykkersyke og får oppleve hvordan Nordsjøen har knyttet folk sammen. Dessuten får du vite hvordan antropologien kan gi innsikt i nye verdener, og nye måter å se verden på. Følg også gjenfødelsen av Universitetet i Bergens aula, fra plantegning til ferdig storstue. Produsert av UiB, Universitetet i Bergen.","Tane Høisæter, Arnt Brandseth, Frode Ims",UiB,Vitenskapshvelvet 2015,,UiB,,Frode Ims,
272.0,Hearing Voices - om å avbilde stemmer som ikke finnes,,2016.0,07.03.17,HD,"Bergen, Oslo","Hearing Voices - om å avbilde stemmer som ikke finnes. Hørselshallusinasjoneren er en av de eldste psykiske sykdommene vi kjenner. Til tross for det, har man ennå ikke funnet gode nok behandlingsmetoder for sykdommen. Professor Hugdahl og hans team vil derfor jakte på den lille detaljen i hjernen som gjør at schizofrene oppfatter stemmene som helt konkrete og virkelige. Løser de denne gåten kan det åpne for nye og bedre behandlingsmetoder for schizofrene. Produsert av Univisjon, Universitetet i Bergen.","May-Britt Skjelvik, Arnt Brandseth",UiB,Hearing Voices - om å avbilde stemmer som ikke finnes,Kenneth Hugdahl,UiB,,Frode Ims,
273.0,Abstract Health Anxiety,,2016.0,29.06.17,HD,Bergen,"Line Iden Berge skal publisere ein studie i BMJ Open, der hovudefunnet er at folk med helseangst har mykje større risiko for å få hjerteinfarkt. ","Tane Høisæter, Frode Ims",UiB,Abstract Health Anxiety,Line Iden Berge,UiB,,Frode Ims,
274.0,Vil du studere arkeologi i Bergen?,,2016.0,29.06.17,HD,Bergen,"Vil du studere arkeologi i Bergen? Film som gir eit innblikk i arkeologiutdanninga ved Universitetet i Bergen. Idea & Script: Tina J. Granados,Simon Malmberg. Filming: Tina J. Granados, Kjetil Loftsgarden, Magnus Mathisen Haaland. Editing: Frode Ims. Script advisor: Tane Holm Høisæter. Subtitle: Tina J. Granados, Heidi Berg. Interviews: Prof. Dr. Simon Malmberg (UiB), Assoc. Prof. Ramona Harrison (UiB), Prof. Dr. Christopher S. Henshilwood (UiB), Prof. Dr. Berit Valentin Eriksen (Zentrum für Baltische und Skandinavische Archäologie), Magnus Mathisen Haaland (PhD-candidate, UiB), Dag Erik Færø Olsen (PhD-candidate, UiB), Petter Vartdal Holstad (Bachelorstudent, UiB), Lars Bigum Kvernberg (Masterstudent, UiB), Emma Norbakk (Masterstudent UiB), Alice Sunde Kvalheim (Masterstudent UiB). Thanks to all who participated in the making of the movie. Special thanks to students from Christian-Albrechts-Universität zu Kiel and Universität Hamburg, and students from the University of Bergen.","Tina Granados (Tane Høisæter, Frode Ims)",UiB,Arkeologi,Line Iden Berge,UiB,,Tina Granados,
275.0,[Uten tittel],,2015.0,29.06.17,HD,Bergen,Alumni 2015. Filmer produsert til Alumnidagene,Arnt Brandseth,UiB,Arkeologi,"Monica Mæland, Siri Lill Mannes, Ingvard Wilhelmsen",UiB,,Arnt Brandseth,
276.0,Folgefonnsenteret,,2017.0,29.06.17,HD,Bergen,Folgefonnsenteret. Filmer som vises på skjermer i Folgefonnsenteret,Arnt Brandseth,UiB,Folgefonnsenteret,"Jostein, Ellen, Kikki",UiB,,Frode Ims,
277.0,Åpning av folgefonnsenteret,,2017.0,29.06.17,HD,Bergen,Åpning av folgefonnsenteret,Arnt Brandseth,UiB,Folgefonnsenteret,,UiB,,Arnt Brandseth,
278.0,Åpning av folgefonnsenteret,,2017.0,29.06.17,HD,Bergen,Åpning av folgefonnsenteret,Arnt Brandseth,UiB,Folgefonnsenteret,,UiB,,Arnt Brandseth,
279.0,Åpning av folgefonnsenteret,,2017.0,29.06.17,HD,Bergen,Fragmenter. 1. A book is born. 2. A book is used. 3. Fragments in archives. 4. From book to fragment. 5. From fragments to virtual book,Arnt Brandseth,UiB,Fragmenter,"Åslaug Ommundsen. Professor, klassiske fag (mellomalderlatin). Institutt for lingvistiske, litterære og estetiske studier",UiB,,Frode Ims,
280.0,Kinakonferansen 2017,,2017.0,29.06.17,HD,Bergen,"Film til Kinakonferansen. På Kinakonferansen deltar stortingspolitikere og næringslivsledere sammen med forskere og studenter fra inn- og utland. Vi vil utveksle erfaringer, vise gode eksempler og diskutere ambisjoner for et økt samarbeid med kinesiske institusjoner og næringsliv. Hvordan vi bygger kunnskap sammen med Kina om de globale samfunnsutfordringene blir et sentralt tema.",Arnt Brandseth,UiB,Kinakonferansen 2017,,UiB,,Arnt Brandseth,
281.0,Klimamooc oppsummering - 2 runde,,2017.0,29.06.17,HD,Bergen,"Klimamooc oppsummering - 2 runde. Causes of Climate Change. Understand the physical processes behind climate variations in the past, present and future, with this free online course",Arnt Brandseth,UiB,Klimamooc oppsummering - 2 runde,,UiB,,Arnt Brandseth,
282.0,Reformasjonsbyen 2017,,2017.0,29.06.17,HD,Bergen,I hele 2017 markeres det at det er 500 år siden reformasjonen.,Arnt Brandseth,UiB,Reformasjonsbyen 2017,,UiB,,Arnt Brandseth,
283.0,Livet etter parken,,2017.0,29.06.17,HD,Bergen,Lundeberg og Mjåland snakker om forskningsfunnene i rusmiljøet i Bergen.,Arnt Brandseth,UiB,Ruskonferanse - Livet etter parken,"Ingrid Rindal Lundeberg, Kristian Mjåland",UiB,,Arnt Brandseth,
284.0,Promo for SA ,,2015.0,29.06.17,HD,Bergen,"Professor Jens Elmelund Kjeldsen, Biologistudent Ine Elise Moksness",Arnt Brandseth,UiB,Promo for SA ,"Professor Jens Elmelund Kjeldsen, Biologistudent Ine Elise Moksness",UiB,,"Arnt Brandseth, Frode Ims",
285.0,Three minute thesis,,2017.0,29.06.17,HD,Three minute thesis,Three minute thesis,Arnt Brandseth,UiB,Three minute thesis,,UiB,,Arnt Brandseth,
286.0,Aarebrot minnestund,,2017.0,15.12.17,HD,Bergen,Aarebrot minnestund. Montasje av stillbildre fra div aviser og private bilder fra familien.,"Tane Høiseter, Frode Ims",UiB,Aarebrot minnestund,Frank Aarebrot,"BErgens Tidende, Bergens Avisen, NRK, Paul Sigve Amundsen",,"BErgens Tidende, Bergens Avisen, NRK, Paul Sigve Amundsen",
287.0,Allmennmedisin konsultasjon,,2017.0,15.12.17,HD,Bergen,Allmennmedisin konsultasjon. Allmennmedisin konsultasjoner/pasientsamtaler til bruk i undervisning. 6 caser filmet på et legekontor.,"Tane Høiseter, Frode Ims",UiB,Allmennmedisin konsultasjon,"Øystein Hetlevik, Thomas Mildestveit",UiB,,"Frode Ims, Tane Høiseter",
288.0,Håndens anatomi,,2017.0,15.12.17,HD,Bergen,"Håndens anatomi – BioMedisin. Håndens ledd og bevegelser, Håndens muskulatur, Innervasjon og blodforsyning i hånden","Tane Høiseter, Frode Ims",UiB,Håndens anatomi – BioMedisin,Reidar Myklebust/Bianca Cecilie Nygård,UiB,,Frode Ims,
289.0,Veggteppet i Universitetsaulaen i Bergen,,2017.0,15.12.17,HD,Bergen,"Veggteppet i Universitetsaulaen i Bergen. Kari Dyrdal, ORNAMENT – kalkspat på mylonittisk gneis – 60°23’45.96”N, 5°18’31.96”Ø 2015. Musikk: Jamendo - Macroform - Peaceful Sleep",Frode Ims,UiB,Veggteppet i Universitetsaulaen i Bergen,"Kari Dyrdal,",UiB,,Frode Ims,
290.0,Fredrik Barth æresdoktorat ,,2008.0,15.12.17,mini DV,Bergen,I 2008 ble Fredrik Barth tildelt æresdoktorat ved UiB og i den anledning ble det avhold et faglig seminar.,Edvard Hviding,UiB,Fredrik Barth æresdoktorat ,Fredrik Barth,UiB,,Rolf Erik Scott,
291.0,Bud Beyer dok,,2012.0,15.12.17,HD,Bergen,Bud Beyer dok til bokprosjekt. QR-kode og MASTER.,May-Britt Skjelvik,UiB,Bud Beyer dok,Bud Beyer,UiB,,Frode Ims,
292.0,Intervention studies to improve infant health and survival - CISMAC,,2017.0,18.12.17,HD,Uganda,"Intervention studies to improve infant health and survival - CISMAC. Centre for Intervention Science in Maternal and Child Health at the University of Bergen is, in collaboration with Makerere University in Kampala, conducting two large randomized controlled trials in Uganda, aiming to improve infant health and survival. While one of the trials examines the best time to give the BCG-vaccine to secure the greatest health benefits for infants, the other study assess the effect of cleansing the umbilical cord stump of newborns with the antiseptic chlorhexidine to prevent infections. In this video you can learn more about our studies in Uganda and why they are important for child health. Music: Jamendo - Sunrise Piano by DDMYZIK","Tane Høiseter, Frode Ims, Kim Andreassen",UiB,Intervention studies to improve infant health and survival - CISMAC,"Halvor Sommerfelt, Marte Emilie Sandvik Haaland, Dr. Victoria Nankabirwa, ",UiB,,Frode Ims,
293.0,derfra gaae Skibe,,1986.0,18.12.17,,Bergen,"“derfra gaae Skibe” – Bergen og omland gjennom tidene. Omhandler Bergen på 1500- og 1600-tallet. Bergen fremstår som mulighetenes by med stor tilflytting både fra utland og næroppland, men det er også en by med stor sosial uro og moralsk forfall – og heksebålene luer på Nordnes. Faglig ansvarlig: Anders Bjarne Fossen. Produsert UiB 1986, 60 min. digitaliserte og komprimerte versjoner",,,derfra gaae Skibe,Anders Bjarne Fossen,UiB,,,
294.0,Utforsker kulturminner med drone,,2016.0,18.12.17,HD,Selje kloster,"Utforsker kulturminner med drone. Droner og satellitt kan gjøre arbeidet til arkeologene lettere og hindre unødig graving. Masteroppgaven til Kristoffer Hillesland skaper entusiasme i bransjen. droner, master, student, utdanning, arkeologi, det humanistiske fakultet",Frode Ims,UiB,"droner, master, student, utdanning, arkeologi, det humanistiske fakultet",Reidar Myklebust/Bianca Cecilie Nygård,UiB,,Kristoffer Hillesland,
295.0,Ice cores - Revealing secrets of past climate,,2016.0,18.12.17,HD,Grønland,"Ice cores - Revealing secrets of past climate. For the first time an international group of scientists will drill a deep ice core into a fast flowing ice stream on Greenland. The international project (http://eastgrip.org), where the University of Bergen and the Bjerknes Centre is one of the main partners, is lead by the Centre of Ice and Climate at the University of Copenhagen. During the summer of 2016 a team of researchers and students built the base on the ice stream in northeast Greenland, started a comprehensive scientific surface field campaign, and initiated the ice core drilling. The aim of the project is to better understand the dynamics and properties of the fast flowing ice stream. By the time they reach bedrock in the year 2020, the team will have extracted nearly 2700m of Greenland ice giving a 100,000 year old climate archive. Projects: For more info visit the East Greenland Ice Coring Project (EastGRIP) homepage: http://eastgrip.org as well as the ERC project ice2ice: http://ice2ice.eu. Filming: Kerim Hestnes Nisancioglu, Department of Earth Sciences og the Bjerknes Centre for Climate Research, University of Bergen. Jørgen Peder Steffensen, Center for Ice and Climate, Niels Bohr Institute, University of Copenhagen. Mari Fjalstad Jensen, Department of Earth Sciences og the Bjerknes Centre for Climate Research, University of Bergen. Sarah Berben, Uni Research. Jason Amundson - University of Alaska. Producer: Tane Holm Høisæter - University of Bergen. Editor: Frode Ims - University of Bergen. Graphic design: Lars Olaf Haaheim - University of Bergen. Voiceover: Evangeline Sessford, Department of Earth Sciences og the Bjerknes Centre for Climate Research, University of Bergen. Animation: NASA/Goddard Space Flight Center Scientific Visualization Studio. The topographic data used in the video are unpublished but courtesy of Ian Howat, The Ohio State University, Columbus, OH. The MOG mosaic (MODIS) is courtesy of T. Scambos, NSDIC, Bouder, CO. The Blue Marble data is courtesy of Reto Stockli (NASA/GSFC). Music: Jamendo - Polar Night by AUDIO4RT","Kerim Hestnes Nisancioglu, Tane Høiseter, Frode Ims",UiB,Ice cores - Revealing secrets of past climate,Kerim Hestnes Nisancioglu,UiB,,,
296.0,Energiutdanning ved UiB,,2016.0,18.12.17,HD,Bergen,"Energiutdanning ved UiB. UiB tilbyr en master i energi som gir deg sivilingeniørkompetanse. I tillegg til de grunnleggende realfagene får du kunnskap innenfor programmering, teknologiledelse og økonomi og miljøfag. Du får innsikt i ulike energiressurser som er i bruk, hvordan de blir omformet og brukt. I tillegg får du innsikt i fornybare energikilder som i dag gir et lite bidrag til global energiforsyning, men som er i rask vekst, som for eksempel vindenergi, solenergi, og biodrivstoff. Musikk: Jamendo - Inspiration by Cleric. Videoarkiv: UiB, BKK, Colourbox.com/","Tane Høiseter, Frode Ims",UiB,Energiutdanning ved UiB,,UiB,,"UiB, BKK, Colourbox.com/",
297.0,Div promoer for Griegakademiet,,2016.0,18.12.17,HD,Bergen,Div promoer for Griegakademiet,"Arnt Brandseth(jazz), Frode Ims(samspill)",UiB,Div promoer for Griegakademiet,,UiB,Magnus Øverli,"Arnt Brandseth, Frode Ims",
298.0,Div hilsner fra rektor 2014,,2014.0,18.12.17,HD,Bergen,Div hilsner fra rektor 2014,"Arnt Brandseth, Frode Ims",UiB,Div hilsner fra rektor 2014,,UiB,,Frode Ims,
299.0,The Holberg Conversation 2016: Stephen Greenblatt,,2016.0,18.12.17,HD,Bergen,"The Holberg Conversation 2016: Stephen Greenblatt. 2016 Holberg Laureate Professor Stephen Greenblatt of Harvard University in conversation with Professor Charles Ivan Armstrong of the University of Agder. Stephen Greenblatt received the Holberg Prize 2016 for his distinctive and defining role in the field of literature and his influential voice in the humanities over four decades. Shakespeare, Greenblatt, Holbergprize, Humanities, Holberg16, UiB","Ole Sandmo, Frode Ims",UiB,The Holberg Conversation 2016: Stephen Greenblatt,"Professor Stephen Greenblatt, Professor Charles Ivan Armstrong",UiB,,"Frode Ims, Arnt Brandseth, Martin Håndlykken",
300.0,Tone Bringa,,,20.12.17,HD,Bosnia,"Tone Bringa. Div digitalisert materiale fra Bosnia, tidligere Jugoslavia.",Tone Bringa,UiB,"Tone Bringa, Bosnia",Tone Bringa,Tone Bringa,,,
