Ref,Programtittel,Lengde,Prod_dato,Arkivert,Format,Opptaksted,Innhold,Produsent_Regi,Oppdragsgiver,Emne,Personer,Rettigheter,Lyd,Foto,Arkivert_Billy
201.0,Grunnforskningens gode hjelper,,2012.0,14.12.12,HD,Bergen,Grunnforskningens gode hjelper. Fred Kavli er gjennom Kavliprisen med på å skape framskritt til beste for menneskeheten. Under hans besøk ved UiB ble grunnforskningens betydning løftet fram.,May-Britt Skjelvik,UiB,Grunnforskningens gode hjelper,Fred Kavli,UiB,Frode Ims,Frode Ims,
202.0,[Uten tittel],,2012.0,14.12.12,HD,Bergen,Museet 2014. Naturhistorisk museum,Arnt Brandseth,UiB,Museet 2014. Naturhistorisk museum,,UiB,Frode Ims/Arnt Brandseth,Frode Ims/Arnt Brandseth,
203.0,Sustaining Ethical Aquaculture Trade,,2012.0,14.12.12,HD,"Bergen, Bangladesh, ++",SEAT. Sustaining Ethical Aquaculture Trade,Arnt Brandseth,UiB - Senter for vitenskapsteori,SEAT1. Sustaining Ethical Aquaculture Trade,"Carl Walter Matthias Kaiser, Scott Bremer",UiB,Frode Ims,Frode Ims,
204.0,Åpning av det akademiske år 2012,,2012.0,14.12.12,HD,Bergen,"Semesterstart 2012. Åpning av det akademiske år 2012. Glimt fra åpningen av det akademiske år og intervju med årets gjestetaler, stortingsrepresentant Audun Lysbakken, som er tidligere student ved UiB.",Arnt Brandseth,UiB,Semesterstart 2012,Audun Lysbakken,UiB,Frode Ims,Frode Ims,
205.0,Ett steg videre.,,2012.0,14.12.12,HD,Bergen,"UiB Presentasjon (2010). Ett steg videre. UiBs viktigste mål er å bevege verden fremover. Nye tanker om samfunnet, språket vårt, naturen og våre sinn har sitt grunnlag i en lang vitenskapelig tradisjon.",May-Britt Skjelvik,UiB,UiB Presentasjon (2010),,UiB,Frode Ims,Frode Ims,
206.0,Unifob klimafilm,,2012.0,14.12.12,HD,,Unifob klimafilm,Brian Holmedal,,Unifob klimafilm,,,,,
207.0,Vitenskapshvelvet 2011. Vitenskapshvelvet 2012,,2012.0,14.12.12,HD,Bergen,Vitenskapshvelvet 2011. Vitenskapshvelvet 2012,,UiB,Vitenskapshvelvet 2011. Vitenskapshvelvet 2012,,,"Frode Ims, Arnt Brandseth","Frode Ims, Arnt Brandseth",
208.0,Studere ved Griegakademiet. Smile - you have an audience,,2012.0,14.12.12,HD,Bergen,Griegakademiet (råstoff). Åpen dag. Lala Murshudli. Bud Beyer,May-Britt Skjelvik,UiB,Griegakademiet ,"Lala Murshudli, Bud Beyer",UiB,Frode Ims,Frode Ims,
209.0,Christiekonferansen 2012,,2012.0,17.12.12,HD,Bergen,Christiekonferansen 2012 (råstoff). Vi vil ut i verden. Bli med! ,"Arnt Brandseth, May-Britt Skjelvik",UiB,Christiekonferansen 2012,,UiB,"Frode Ims, Arnt Brandseth","Frode Ims, Arnt Brandseth",
210.0,Christiekonferansen 2013,,2012.0,17.12.12,HD,Bergen,Christiekonferansen 2013 (råstoff). Christieprisen 2012,"Arnt Brandseth, May-Britt Skjelvik",UiB,Christiekonferansen 2013,,UiB,Frode Ims,Frode Ims,
